variable,importancia
ram,0.4831016480979671
battery_power,0.07423409975831817
px_width,0.05780063454942176
px_height,0.05561479297866881
mobile_wt,0.03850131041290989
int_memory,0.03576197174060936
talk_time,0.02991640455626256
pc,0.029593830645367077
sc_w,0.02799490790941091
clock_speed,0.027190134043063318
sc_h,0.02705818100702218
m_dep,0.025175732101480955
fc,0.024970540260789355
n_cores,0.023648096916900833
touch_screen,0.006934310207999045
four_g,0.006910468499971214
blue,0.006903866337205579
dual_sim,0.006793824342239682
wifi,0.00670316214805606
three_g,0.00519208348633617
